Item	Category
Σακελλαρόπουλος Σπυρίδων Κ., Στοιχεία ελληνικής γραμματολογίας: προς χρήσιν των Γυμνασίων κατά το επίσημον πρόγραμμα του Υπουργείου της Δημ. Εκπαιδεύσεως. Εκ του τυπογραφείου των καταστημάτων Ανέστη Κωνσταντινίδου, Εν Αθήναις, 1886.	essay
[312] Α. Πάλλη, Αλέξιος, ή, Αι τελευταίαι ημέραι των Ψαρρών: ιστορικόν διήγημα. Εκ του τυπογραφείου “Η Αυγή”, Εν Ζακύνθω, 1860.	prose
Συλλογή ωφελίμων και ψυχαγώγων αναγνωσμάτων, τ. Α΄. Τύποις Χ. Νικολαίδου Φιλαδελφέως, Εν Αθήναις, 1855.	prose
Κοφινιώτης Ευάγγελος Κ., Ελληνική χρηστομάθεια: περιέχουσα τα κατά το της 23 Ιουνίου πρόγραμμα εν τοις Ελληνικοίς σχολείοις ερμηνευόμενα κείμενα αρχαίων Ελλήνων συγγραφέων. Εκ του τυπογραφείου ο Παλαμήδης, Εν Αθήναις, 1884.	prose
Μ. Κυδώνης, Ed., Η ώρα του παιδιού : “περίπατοι μέσα σε φανταστικούς κήπους”. Αθήνα: [Εκτύπωση Καλλέργη & Σία], 1900.	manual
Κ. Γ. Γεωργαλάς, Σειρά αναγνωσμάτων έτους σχολικού Α’, Β’, Γ’, Δ’, και Ε’ :$bμετά προλεγομένων και διδακτικών οδηγιών : προς χρήσιν των δημοτικών και αστικών σχολών αμφοτέρων των φύλων : έτος σχολικόν Ε’. Τύποις Α. Κορομηλά, Εν Κωνσταντινούπολει, 1891.	prose
Η. Σ. Σταθόπουλος, Του ποιητικού διαγωνισμού του 1857 τα επεισόδια: και μιας λογικής αριθμητικής η επίκρισις. Εκ του τυπογραφείου Ιω. Αγγελόπουλου, Εν Αθήναις, 1857.	essay
1835-1908 Βικέλας Δημήτριος, Από Νικοπόλεως εις Ολυμπίαν : επιστολαί προς φίλον. Εν Αθήναις: Εκ του τυπογρ. “Ανδρ. Κορομηλά” και “Κοραή,” 1886.	prose
 [Επτανησιώται λόγιοι του 19ου αιώνα]. χ.τ.: [χ.ο], 1890.	essay
Μιστριώτης Γεώργιος, Γραμματολογία ελληνική: λιθογραφηθείσα. Τύποις αδελφών Κοντογόνη, Αθήνησι, 1892.	essay
Δροσίνης Γεώργιος, Διηγήσεις αγωνιστού ήτοι σκηνογραφίαι εκ της ελληνικής επαναστάσεως: προς ανάγνωσιν εν τη Δ’ τάξει των Δημοτικών Σχολείων κατά το πρόγραμμα του επί του της Δημοσίας Εκπαιδεύσεως Υπουργείου. Κασδόνης, Εν Αθήναις, 1889.	prose
1859-1943 Παλαμάς Κωστής, Διονύσιος Σολωμός : βιογραφία και κριτική, Ύμνος εις την ελευθερίαν. Αλεξάνδρεια: Pan-African Anglo-Hellenic Editions, 1890.	essay
 Σ. Ζερβός Νικόλαος, Δύω σελίδες εκ της συγχρόνου ιστορίας της Κέρκυρας, ήτοι, Ο φιλολογικός βίος του Κλεινου ιστοριογράφου Ανδρέου του Μουστοξύδου. Εν Κερκύρα: Τυπογραφείον “Ερμής,” 1894.	essay
Κόκκινος Εμμανουήλ Χ., Εκθεσις της επί του Μεταφραστικού Αγώνος του κ. Δ. Α. Οικονόμου επιτροπής κατά την Γ’ αυτού περίοδον. Εκ του τυπογραφείου Ερμού, Αθηνήσιν, 1876.	essay
Αφεντούλης Θεόδωρος, Εκθεσις της επιτροπής επί της μεταφράσεως του Δάντου εν τω διαγωνίσματι Δ. Οικονόμου. Εκ του τυπογραφείου Ιωάννου Αγγελόπουλου, Εν Αθήναις, 1873.	essay
Εκθεσις του ποιητικού διαγωνισμού του έτους 1857. Εκ του Τυπογραφείου Λαζάρου Δ. Βιλαρά, Εν Αθήναις, 1857.	essay
Σακελλαρόπουλος Σπυρίδων Κ., Εκθεσις των κριτών του Λασσανείου Δραματικού Διαγωνισμού: αναγνωσθείσα υπο του εισηγητού Σ. Κ. Σακελλαροπούλου εν των Πανεπιστημίω τη 28 Μαρτίου 1899. Τύποις Π. Δ. Σακελλαρίου, Εν Αθήναις, 1899.	essay
Ξενόπουλος Γρηγόριος, Ελληνικού αγώνος το τριακοσιάδραχμον έπαθλον: διήγημα. Διονύσιος Σ. Χιώτης, Εν Αθήναις, 1885.	prose
Λάμπρος Σπυρίδων Π., Επί τη ανακομηδή των λειψάνων του Πατριάρχου Γρηγορίου και τη τελέσει της πεντηκονταετηρίδος της Ελληνικής παλιγενεσίας: ποίημα. τυπ. Κτένα και Σ. Οικονόμου, Εν Αθήναις, 1871.	poem
Η κατά το 1868 περί του Βουτσιναίου διαγωνίσματος έκθεσις της επιτροπής. Τύποις Ιωάννου Αγγελόπουλου, Αθήνησι, 1868.	essay
Ξένος Στέφανος Θ., Η ηρωίς της Ελληνικής επαναστάσεως: ήτοι, σκηναί εν Ελλάδι από έτους 1821-1828 : τόμος Β’. Τύποις του Βρεττανικού Αστέρος, Εν Λονδίνο, 1861.	prose
Ξένος Στέφανος Θ., Η ηρωίς της Ελληνικής επαναστάσεως: ήτοι, σκηναί εν Ελλάδι από έτους 1821-1828 : τόμος Α’. Τύποις του Βρεττανικού Αστέρος, Εν Λονδίνο, 1861.	prose
Thiemann Karl, Ηλιοδώρου Αριστοφάνειος κωλομετρία: dissertatio inauguralis philologica. Typis Orphanotrophei, Halis, 1868.	essay
Κρίσις του Βουτσιναίου ποιητικού Αγώνος εν έτει ΑΩΞΕ: αναγνωσθείσα εν τη μεγάλη αιθούση του Αθήνησιν Εθνικού των Ελλήνων Πανεπιστημίου κατά την ΚΗ’ εορτήν της εγκαθιδρύσεως αυτού. Τύποις Λακωνίας, Εν Αθήναις, 1865.	essay
Ορφανίδης Θεόδωρος Γεωργίου, Κρίσις του Βουτσιναίου ποιητικού Αγώνος εν έτει ΑΩΟ’: αναγνωσθείσα την Ι’ Μαίου εν τη μεγάλη αιθουση του εν Αθήναις Εθνικού Πανεπιστημίου. Εκ του Τυπογραφείου Α. Κτενά και Σ. Οικονόμου, Εν Αθήναις, 1870.	essay
Γ. Βερναρδάκης, Κριτκών παρατηρήσεων εξέλεγξις. Τύποις “Εφημερίδος”, [χ.τ.], 1889.	essay
1800-1874 Τερτσέτης Γεώργιος-Μάρκος, Λόγος εις την εορτήν της μεταμορφώσεως. Αθήνησι: Τύποις Χ. Νικολάου Φιλαδελφέως, 1846.	essay
Δέρβος Γεώργιος Ι., Λόγος εισιτήριος εις το μάθημα της χριστιανικής γραμματολογίας. Εκ του τυπογραφείου Αποστολόπουλου, Εν Αθήναις, 1898.	essay
1800-1874 Τερτσέτης Γεώργιος-Μάρκος, Λόγος της 25 Μαρτίου 1863. Εν Αθήναις: Εκ του Τυπογραφείου Χ. Ν. Φιλαδελφέως, 1863.	essay
Περβάνογλου Ιωάννης, Μιχαήλ ο Παλαιολόγος: ιστορικόν διήγημα. [χ.ό.], Εν Λειψία, 1883.	prose
Μάνης Β., Ο ψευτοπόλεμος του 1897. [χ.ό], Αθήναι.	poem
