Item	Category
“Προσωπικές, φυλετικές και λογοτεχνικές επιλογές του Τζαίημς Τζόνσον”  – Δοκίμιο του Γεωργίου Νικ. Σχορετσανίτη	essay
«Οι θεματικές συλλογές 1905-1915 & 1916-1918 του Κ.Π. Καβάφη»  – Μελέτη της Στέλλας Κουτσογιάννη 	essay
«Ο κινεζικός γραπτός χαρακτήρας ως µέσον ποίησης»  – Δοκίμιο του Έρνεστ Φενολλόσα 	essay
 «Περί ζωής» – Δοκίμιο του Πέρσυ Μπυς Σέλεϋ 	essay
«Ποίηση & Παγκοσμιοποίηση» – Συλλογή του Γιώργου Μπλάνα 	essay
«Σημεία και τέρατα / Παγκόσμια εγκυκλοπαίδεια των τεράτων»  – Συλλογή του Γιώργου Μπλάνα 	essay
«Vortex» – Δοκίμιο του Έζρα Πάουντ	essay
«Μια ανασκόπηση» – Συλλογή δοκιμίων του Έζρα Πάουν	essay
«Θέσεις για τον Φοϋερμπαχ» – Δοκίμιο του Καρλ Μαρξ	essay
“H Μεταβυζαντινή Ελληνόφωνη Ποίηση και οι τάσεις της, τα τελευταία 50 χρόνια”  – Δοκίμιο του Κώστα Σοφιανού 	essay
“Ε7τά σημειώσεις για την ποίηση” – Δοκίμιο του Μιχάλη Πιερή 	essay
“Μελέτες (2004-2017)” – Συλλογή του Ευάγγελου Ι. Τζάνου	essay
“Ιταλικός και Ρωσικός Λογοτεχνικός Φουτουρισμός: Συγκλίσεις και αποκλίσεις”  – Μελέτη του Χρίστου Αλεξανδρίδη 	essay
“Κείμενα για τον CHE” – Συλλογή κειμένων του Νικόλαου Μόττα 	essay
“Το Λεξικό του Ηγέτη” – 100 λέξεις	essay
“Ο Νόμος των διαφορετικών λέξεων” – Δοκίμιο του Τάκη Κουφόπουλου 	essay
“Γλώσσα και Γραφή” – Δοκίμιο του Τάκη Κουφόπουλου	essay
“Συγκριτικά στοιχεία της Ελληνικής γλώσσας” – Δοκίμιο του Τάκη Κουφόπουλου 	essay
“Ο Σκοτεινός / Σημειώσεις για τον Ηράκλειτο” – Δοκίμιο του Τάκη Κουφόπουλου 	essay
“Από το χαρτί στην οθόνη: Ζητήματα της ηλεκτρονικής λογοτεχνίας”  – Μελέτη της Μαρίας Μπεχλιβάνου 	essay
